row_id,raw_lp_id,case_group,brief_uid,brief_role,chunk_id,lp_text,evidence_para_ids_joined,evidence_text,decision,edit_lp_text,merge_group_id,split_children,notes
cdee549a9104,rawlp_cdee549a910419d4,23-1122,23-1122-petitioners,petitioner,23-1122-petitioners_C001,H.B. 1181's age-verification requirement is underinclusive because it exempts search engines and social-media sites that make available to minors huge quantities of the same content.,p6,"[p6] overinclusive, underinclusive, and not the least restrictive means of pursuing the state’s interest in protecting minors. It is overinclusive because— through its application to entire websites that have more than one-third content inappropriate for minors— it restricts adults’ access to speech that is not even sexual and not even arguably obscene for minors. It is underinclusive because it exempts search engines and social-media sites that make available to minors huge quantities of the same content that the statute restricts on petitioners’ websites. And it fails to adopt less restrictive and more effective alternatives to burdensome online age-verification, such as the content-filtering software that this Court identified in Ashcroft. Each of those defects is independently fatal; together, they underscore that H.B. 1181 is designed foremost to target disfavored speakers—whom the law brands with self-condemning “health warnings”— rather than to meet the state’s purported objective. Such speaker-based discrimination affords yet another reason why petitioners’ challenge will likely succeed.",accept,,,,
b07ac3f4a2a9,rawlp_b07ac3f4a2a96af3,23-1122,23-1122-petitioners,petitioner,23-1122-petitioners_C001,H.B. 1181's age-verification requirement fails to adopt less restrictive and more effective alternatives to burdensome online age-verification.,p6,"[p6] overinclusive, underinclusive, and not the least restrictive means of pursuing the state’s interest in protecting minors. It is overinclusive because— through its application to entire websites that have more than one-third content inappropriate for minors— it restricts adults’ access to speech that is not even sexual and not even arguably obscene for minors. It is underinclusive because it exempts search engines and social-media sites that make available to minors huge quantities of the same content that the statute restricts on petitioners’ websites. And it fails to adopt less restrictive and more effective alternatives to burdensome online age-verification, such as the content-filtering software that this Court identified in Ashcroft. Each of those defects is independently fatal; together, they underscore that H.B. 1181 is designed foremost to target disfavored speakers—whom the law brands with self-condemning “health warnings”— rather than to meet the state’s purported objective. Such speaker-based discrimination affords yet another reason why petitioners’ challenge will likely succeed.",accept,,,,
ef2117430b6d,rawlp_ef2117430b6d4fe6,23-1122,23-1122-petitioners,petitioner,23-1122-petitioners_C001,"Petitioners satisfy the remaining requirements for a preliminary injunction, including irreparable harm and the equities and public interest strongly favoring enjoining enforcement of the statute.",p7,"[p7] C. Petitioners satisfy the remaining requirements for a preliminary injunction. They, along with Texas adults, are irreparably harmed by the loss of their First Amendment freedoms and the prospect of crippling enforcement proceedings and unrecoverable compliance costs. Moreover, the equities and public interest strongly favor enjoining enforcement of the statute until the litigation is complete—just as was true for the comparable laws in Reno and Ashcroft.",reject,,,,two issues combined and each of the two was captured in the next two rows respectively
a8c1d357d5c6,rawlp_a8c1d357d5c6b598,23-1122,23-1122-petitioners,petitioner,23-1122-petitioners_C001,The equities and public interest strongly favor enjoining enforcement of the statute until the litigation is complete.,p7,"[p7] C. Petitioners satisfy the remaining requirements for a preliminary injunction. They, along with Texas adults, are irreparably harmed by the loss of their First Amendment freedoms and the prospect of crippling enforcement proceedings and unrecoverable compliance costs. Moreover, the equities and public interest strongly favor enjoining enforcement of the statute until the litigation is complete—just as was true for the comparable laws in Reno and Ashcroft.",accept,,,,
7e61126886ca,rawlp_7e61126886cad264,23-1122,23-1122-petitioners,petitioner,23-1122-petitioners_C002,Petitioners suffer irreparable harm from the loss of their First Amendment freedoms.,p7,"[p7] C. Petitioners satisfy the remaining requirements for a preliminary injunction. They, along with Texas adults, are irreparably harmed by the loss of their First Amendment freedoms and the prospect of crippling enforcement proceedings and unrecoverable compliance costs. Moreover, the equities and public interest strongly favor enjoining enforcement of the statute until the litigation is complete—just as was true for the comparable laws in Reno and Ashcroft.",accept,,,,
cc665d1feb7a,rawlp_cc665d1feb7ad2e9,23-1122,23-1122-petitioners,petitioner,23-1122-petitioners_C002,The equities favor enjoining enforcement of the statute until the litigation is complete.,p7,"[p7] C. Petitioners satisfy the remaining requirements for a preliminary injunction. They, along with Texas adults, are irreparably harmed by the loss of their First Amendment freedoms and the prospect of crippling enforcement proceedings and unrecoverable compliance costs. Moreover, the equities and public interest strongly favor enjoining enforcement of the statute until the litigation is complete—just as was true for the comparable laws in Reno and Ashcroft.",reject,,,,"duplicate (same proposition, phrased slightly different in  row 15 was accepted"
4c8b3c126bb3,rawlp_4c8b3c126bb30f4b,23-1122,23-1122-petitioners,petitioner,23-1122-petitioners_C002,"Petitioners, along with Texas adults, are irreparably harmed by the prospect of crippling enforcement proceedings and unrecoverable compliance costs.",p7,"[p7] C. Petitioners satisfy the remaining requirements for a preliminary injunction. They, along with Texas adults, are irreparably harmed by the loss of their First Amendment freedoms and the prospect of crippling enforcement proceedings and unrecoverable compliance costs. Moreover, the equities and public interest strongly favor enjoining enforcement of the statute until the litigation is complete—just as was true for the comparable laws in Reno and Ashcroft.",accept,,,,
15a8bdc4fc09,rawlp_15a8bdc4fc097262,23-1122,23-1122-petitioners,petitioner,23-1122-petitioners_C002,Enjoining enforcement of the statute until the litigation is complete is comparable to the treatment of similar laws in Reno and Ashcroft.,p7,"[p7] C. Petitioners satisfy the remaining requirements for a preliminary injunction. They, along with Texas adults, are irreparably harmed by the loss of their First Amendment freedoms and the prospect of crippling enforcement proceedings and unrecoverable compliance costs. Moreover, the equities and public interest strongly favor enjoining enforcement of the statute until the litigation is complete—just as was true for the comparable laws in Reno and Ashcroft.",accept,,,,precedent application
63a384923d6e,rawlp_63a384923d6e4932,23-1122,23-1122-respondents,respondent,23-1122-respondents_C001,A State may impose an age-verification requirement on websites trafficking in hardcore pornography.,p2;p4,"[p2] I. The Fifth Circuit followed Ginsberg and Sable. Where the level of constitutional scrutiny depends on the nature of the audience, Sable allows a State to put the onus on the speaker to serve as the gatekeeper. And Ginsberg—which upheld a State’s power to require brick-and-mortar retailers to prevent children from viewing obscenity—employs a rational-basis test.

[p4] Nor did Ashcroft II overrule Sable and Ginsberg. Because it is just as easy for websites to ensure that those wishing to gamble, buy alcohol, or view pornography are adults as it is for brick-and-mortar shopkeepers, Texas acted well within its police power by imposing that requirement on websites trafficking in hardcore pornography. And if Ashcroft II prevents Texas from requiring Petitioners to use the same age-verification services as comparable websites, Ashcroft II must be overruled. Reliable age verification was not on the table twenty years ago. That is not remotely true today.",accept,,,,
ff2e0ff088bc,rawlp_ff2e0ff088bcdef2,23-1122,23-1122-respondents,respondent,23-1122-respondents_C001,H.B. 1181 is not 'content based' because it asks whether the content is constitutionally protected in the first place.,p3,"[p3] Petitioners offer a bevy of counterarguments, but each misfires. H.B. 1181 is not “content based” because the question it asks is whether the content is constitutionally protected in the first place. Such threshold determinations have never been subjected to strict-scrutiny review. See, e.g., United States v. Stevens, 559 U.S. 460, 468-69 (2010). Otherwise, a State could not criminalize speech that facilitates crime without triggering strict scrutiny. And the suggestion that States cannot express disapproval of obscenity—a “valueless” category of speech, Counterman v. Colorado, 600 U.S. 66, 73 (2023)—turns the First Amendment on its head.",accept,,,,
03a357b97da7,rawlp_03a357b97da79fd7,23-1122,23-1122-respondents,respondent,23-1122-respondents_C001,Threshold determinations of constitutionally protected speech have never been subjected to strict-scrutiny review.,p3,"[p3] Petitioners offer a bevy of counterarguments, but each misfires. H.B. 1181 is not “content based” because the question it asks is whether the content is constitutionally protected in the first place. Such threshold determinations have never been subjected to strict-scrutiny review. See, e.g., United States v. Stevens, 559 U.S. 460, 468-69 (2010). Otherwise, a State could not criminalize speech that facilitates crime without triggering strict scrutiny. And the suggestion that States cannot express disapproval of obscenity—a “valueless” category of speech, Counterman v. Colorado, 600 U.S. 66, 73 (2023)—turns the First Amendment on its head.",accept,,,,
b5801799ab84,rawlp_b5801799ab846693,23-1122,23-1122-respondents,respondent,23-1122-respondents_C001,States may express disapproval of obscenity without triggering strict scrutiny.,p3,"[p3] Petitioners offer a bevy of counterarguments, but each misfires. H.B. 1181 is not “content based” because the question it asks is whether the content is constitutionally protected in the first place. Such threshold determinations have never been subjected to strict-scrutiny review. See, e.g., United States v. Stevens, 559 U.S. 460, 468-69 (2010). Otherwise, a State could not criminalize speech that facilitates crime without triggering strict scrutiny. And the suggestion that States cannot express disapproval of obscenity—a “valueless” category of speech, Counterman v. Colorado, 600 U.S. 66, 73 (2023)—turns the First Amendment on its head.",accept,,,,
446d86e304c0,rawlp_446d86e304c0347b,23-1122,23-1122-respondents,respondent,23-1122-respondents_C001,Ashcroft II does not prevent Texas from requiring websites to use the same age-verification services as comparable websites.,p4,"[p4] Nor did Ashcroft II overrule Sable and Ginsberg. Because it is just as easy for websites to ensure that those wishing to gamble, buy alcohol, or view pornography are adults as it is for brick-and-mortar shopkeepers, Texas acted well within its police power by imposing that requirement on websites trafficking in hardcore pornography. And if Ashcroft II prevents Texas from requiring Petitioners to use the same age-verification services as comparable websites, Ashcroft II must be overruled. Reliable age verification was not on the table twenty years ago. That is not remotely true today.",accept,,,,
cb72a2051acf,rawlp_cb72a2051acfc22e,23-1122,23-1122-respondents,respondent,23-1122-respondents_C001,"Reliable age verification was not on the table twenty years ago, but it is today.",p4,"[p4] Nor did Ashcroft II overrule Sable and Ginsberg. Because it is just as easy for websites to ensure that those wishing to gamble, buy alcohol, or view pornography are adults as it is for brick-and-mortar shopkeepers, Texas acted well within its police power by imposing that requirement on websites trafficking in hardcore pornography. And if Ashcroft II prevents Texas from requiring Petitioners to use the same age-verification services as comparable websites, Ashcroft II must be overruled. Reliable age verification was not on the table twenty years ago. That is not remotely true today.",accept,,,,keep - contestable factual premise for a legal proposition
f9c5cd52251c,rawlp_f9c5cd52251c55c8,23-1122,23-1122-respondents,respondent,23-1122-respondents_C001,"Even if heightened scrutiny applied, H.B. 1181 would clear even strict scrutiny.",p5,"[p5] II. Even if heightened scrutiny applied, the preliminary injunction would still fail. Any heightened standard could only be intermediate scrutiny, but H.B. 1181 would clear even strict scrutiny. Not only is Texas’s interest overwhelming, H.B. 1181 focuses on websites causing the most harm to children. And as more than two decades of failed filtering confirms, Texas cannot vindicate its interest in any other way.",reject,,,,too conclusion like and the reasoning is covered by other propositions
8dda8ed51cc5,rawlp_8dda8ed51cc59a6e,23-1122,23-1122-respondents,respondent,23-1122-respondents_C001,Texas's interest in protecting children from hardcore pornography is overwhelming.,p5,"[p5] II. Even if heightened scrutiny applied, the preliminary injunction would still fail. Any heightened standard could only be intermediate scrutiny, but H.B. 1181 would clear even strict scrutiny. Not only is Texas’s interest overwhelming, H.B. 1181 focuses on websites causing the most harm to children. And as more than two decades of failed filtering confirms, Texas cannot vindicate its interest in any other way.",accept,,,,
e1d9e8824825,rawlp_e1d9e88248251e30,23-1122,23-1122-respondents,respondent,23-1122-respondents_C001,H.B. 1181 focuses on websites causing the most harm to children.,p5,"[p5] II. Even if heightened scrutiny applied, the preliminary injunction would still fail. Any heightened standard could only be intermediate scrutiny, but H.B. 1181 would clear even strict scrutiny. Not only is Texas’s interest overwhelming, H.B. 1181 focuses on websites causing the most harm to children. And as more than two decades of failed filtering confirms, Texas cannot vindicate its interest in any other way.",accept,,,,
f9ff346c23f9,rawlp_f9ff346c23f934ef,23-1122,23-1122-respondents,respondent,23-1122-respondents_C001,Texas may focus on its most pressing concerns and need not address all aspects of the problem in one fell swoop.,p6,"[p6] Again, Petitioners’ counterarguments fail. They say that H.B. 1181 is not narrowly tailored because Texas does not regulate every website where obscenity is available. Yet Texas “may focus on [its] most pressing concerns” and “need not address all aspects of [the] problem in one fell swoop.” Williams-Yulee v. Fla. Bar, 575 U.S. 433, 449 (2015). Petitioners also urge content filtering but cannot show it is “at least as effective” as age verification. Reno, 521 U.S. at 874. To the contrary, despite widespread availability, filtering “has proven an ineffective mechanism.” J.A.207.",accept,,,,
a0c6eb443b03,rawlp_a0c6eb443b03d7c9,23-1122,23-1122-respondents,respondent,23-1122-respondents_C001,Content filtering has proven an ineffective mechanism for regulating access to hardcore pornography.,p6,"[p6] Again, Petitioners’ counterarguments fail. They say that H.B. 1181 is not narrowly tailored because Texas does not regulate every website where obscenity is available. Yet Texas “may focus on [its] most pressing concerns” and “need not address all aspects of [the] problem in one fell swoop.” Williams-Yulee v. Fla. Bar, 575 U.S. 433, 449 (2015). Petitioners also urge content filtering but cannot show it is “at least as effective” as age verification. Reno, 521 U.S. at 874. To the contrary, despite widespread availability, filtering “has proven an ineffective mechanism.” J.A.207.",accept, ,,,
ce7d7ac4491e,rawlp_ce7d7ac4491efffa,23-1122,23-1122-respondents,respondent,23-1122-respondents_C001,A facial challenge requires a plaintiff to show that the law is unconstitutional in all of its applications.,p7,"[p7] III. Petitioners also cannot successfully bring a facial challenge. Because such challenges “rest on speculation” about how a law will be interpreted and what the facts will reveal, a plaintiff ordinarily must show that the law is “unconstitutional in all of its applications.” Wash. State Grange v. Wash. State Republican Party, 552 U.S. 442, 449-50 (2008). Although the Court has shown greater solicitude to free-speech claims, see, e.g., NetChoice, 144 S.Ct. at 2397, a facial injunction blocking enforcement of a state law is “strong medicine” presenting significant separation-of-powers concerns, Broadrick v. Oklahoma, 413 U.S. 601, 613 (1973).",accept,,,,
8456ef36d86d,rawlp_8456ef36d86dd257,23-1122,23-1122-respondents,respondent,23-1122-respondents_C001,A facial injunction blocking enforcement of a state law is strong medicine presenting significant separation-of-powers concerns.,p7,"[p7] III. Petitioners also cannot successfully bring a facial challenge. Because such challenges “rest on speculation” about how a law will be interpreted and what the facts will reveal, a plaintiff ordinarily must show that the law is “unconstitutional in all of its applications.” Wash. State Grange v. Wash. State Republican Party, 552 U.S. 442, 449-50 (2008). Although the Court has shown greater solicitude to free-speech claims, see, e.g., NetChoice, 144 S.Ct. at 2397, a facial injunction blocking enforcement of a state law is “strong medicine” presenting significant separation-of-powers concerns, Broadrick v. Oklahoma, 413 U.S. 601, 613 (1973).",accept,,,,
5b6eafc54c41,rawlp_5b6eafc54c41c939,23-1122,23-1122-respondents,respondent,23-1122-respondents_C001,Petitioners have not come close to meeting their burden in a facial challenge.,p7;p8,"[p7] III. Petitioners also cannot successfully bring a facial challenge. Because such challenges “rest on speculation” about how a law will be interpreted and what the facts will reveal, a plaintiff ordinarily must show that the law is “unconstitutional in all of its applications.” Wash. State Grange v. Wash. State Republican Party, 552 U.S. 442, 449-50 (2008). Although the Court has shown greater solicitude to free-speech claims, see, e.g., NetChoice, 144 S.Ct. at 2397, a facial injunction blocking enforcement of a state law is “strong medicine” presenting significant separation-of-powers concerns, Broadrick v. Oklahoma, 413 U.S. 601, 613 (1973).

[p8] Petitioners have not come close to meeting their burden. Even on the incomplete record before the Court, much of the content here is plainly obscene—and thus constitutionally unprotected—even for adults. The district court, however, committed a more egregious version of the error identified in NetChoice. Not only did it fail to consider each application of H.B. 1181, it did not even consider H.B. 1181’s heartland. Instead, it speculated about hypothetical applications while refusing to review the content squarely at issue. Petitioners, however, cannot complain that their adult customers’ constitutional rights have been chilled based on content that those customers have no constitutional right to view.",reject,,,,too conclusion and abstract
5d0a2bb3b038,rawlp_5d0a2bb3b03887ae,23-1122,23-1122-respondents,respondent,23-1122-respondents_C001,The district court erred in failing to consider each application of H.B. 1181 and its heartland.,p8,"[p8] Petitioners have not come close to meeting their burden. Even on the incomplete record before the Court, much of the content here is plainly obscene—and thus constitutionally unprotected—even for adults. The district court, however, committed a more egregious version of the error identified in NetChoice. Not only did it fail to consider each application of H.B. 1181, it did not even consider H.B. 1181’s heartland. Instead, it speculated about hypothetical applications while refusing to review the content squarely at issue. Petitioners, however, cannot complain that their adult customers’ constitutional rights have been chilled based on content that those customers have no constitutional right to view.",accept,,,,
b3d9b8821485,rawlp_b3d9b8821485f2ab,23-1122,23-1122-respondents,respondent,23-1122-respondents_C001,Petitioners cannot complain that their adult customers' constitutional rights have been chilled based on content that those customers have no constitutional right to view.,p8,"[p8] Petitioners have not come close to meeting their burden. Even on the incomplete record before the Court, much of the content here is plainly obscene—and thus constitutionally unprotected—even for adults. The district court, however, committed a more egregious version of the error identified in NetChoice. Not only did it fail to consider each application of H.B. 1181, it did not even consider H.B. 1181’s heartland. Instead, it speculated about hypothetical applications while refusing to review the content squarely at issue. Petitioners, however, cannot complain that their adult customers’ constitutional rights have been chilled based on content that those customers have no constitutional right to view.",accept,,,,
8d5f0b1d9bbf,rawlp_8d5f0b1d9bbfa1ce,23-1122,23-1122-respondents,respondent,23-1122-respondents_C002,A facial challenge to a law requires showing that the law is unconstitutional in all of its applications.,p7,"[p7] III. Petitioners also cannot successfully bring a facial challenge. Because such challenges “rest on speculation” about how a law will be interpreted and what the facts will reveal, a plaintiff ordinarily must show that the law is “unconstitutional in all of its applications.” Wash. State Grange v. Wash. State Republican Party, 552 U.S. 442, 449-50 (2008). Although the Court has shown greater solicitude to free-speech claims, see, e.g., NetChoice, 144 S.Ct. at 2397, a facial injunction blocking enforcement of a state law is “strong medicine” presenting significant separation-of-powers concerns, Broadrick v. Oklahoma, 413 U.S. 601, 613 (1973).",reject,,,,version in row 37 is better
c75e170d8967,rawlp_c75e170d89677132,23-1122,23-1122-respondents,respondent,23-1122-respondents_C002,"A plaintiff bringing a facial challenge must show that the law is unconstitutional in all of its applications, especially for free-speech claims.",p7,"[p7] III. Petitioners also cannot successfully bring a facial challenge. Because such challenges “rest on speculation” about how a law will be interpreted and what the facts will reveal, a plaintiff ordinarily must show that the law is “unconstitutional in all of its applications.” Wash. State Grange v. Wash. State Republican Party, 552 U.S. 442, 449-50 (2008). Although the Court has shown greater solicitude to free-speech claims, see, e.g., NetChoice, 144 S.Ct. at 2397, a facial injunction blocking enforcement of a state law is “strong medicine” presenting significant separation-of-powers concerns, Broadrick v. Oklahoma, 413 U.S. 601, 613 (1973).",accept,,,,
9b456e6985da,rawlp_9b456e6985da4bd3,23-1122,23-1122-respondents,respondent,23-1122-respondents_C002,A facial injunction blocking enforcement of a state law is strong medicine presenting significant separation-of-powers concerns.,p7,"[p7] III. Petitioners also cannot successfully bring a facial challenge. Because such challenges “rest on speculation” about how a law will be interpreted and what the facts will reveal, a plaintiff ordinarily must show that the law is “unconstitutional in all of its applications.” Wash. State Grange v. Wash. State Republican Party, 552 U.S. 442, 449-50 (2008). Although the Court has shown greater solicitude to free-speech claims, see, e.g., NetChoice, 144 S.Ct. at 2397, a facial injunction blocking enforcement of a state law is “strong medicine” presenting significant separation-of-powers concerns, Broadrick v. Oklahoma, 413 U.S. 601, 613 (1973).",reject,,,,duplicate and pick a better version
3345c6272138,rawlp_3345c62721386f87,23-1122,23-1122-respondents,respondent,23-1122-respondents_C002,Petitioners have not shown that H.B. 1181 is unconstitutional in all of its applications.,p8,"[p8] Petitioners have not come close to meeting their burden. Even on the incomplete record before the Court, much of the content here is plainly obscene—and thus constitutionally unprotected—even for adults. The district court, however, committed a more egregious version of the error identified in NetChoice. Not only did it fail to consider each application of H.B. 1181, it did not even consider H.B. 1181’s heartland. Instead, it speculated about hypothetical applications while refusing to review the content squarely at issue. Petitioners, however, cannot complain that their adult customers’ constitutional rights have been chilled based on content that those customers have no constitutional right to view.",reject,,,,pick a better version
76306f182e47,rawlp_76306f182e47edad,23-1122,23-1122-respondents,respondent,23-1122-respondents_C002,The district court erred by failing to consider each application of H.B. 1181 and instead speculated about hypothetical applications.,p8,"[p8] Petitioners have not come close to meeting their burden. Even on the incomplete record before the Court, much of the content here is plainly obscene—and thus constitutionally unprotected—even for adults. The district court, however, committed a more egregious version of the error identified in NetChoice. Not only did it fail to consider each application of H.B. 1181, it did not even consider H.B. 1181’s heartland. Instead, it speculated about hypothetical applications while refusing to review the content squarely at issue. Petitioners, however, cannot complain that their adult customers’ constitutional rights have been chilled based on content that those customers have no constitutional right to view.",edit,The district court  speculated about hypothetical applications.,,,
dab77c9d9c23,rawlp_dab77c9d9c23fae0,23-1122,23-1122-respondents,respondent,23-1122-respondents_C002,Petitioners cannot complain about chilling of adult customers' constitutional rights based on content that those customers have no constitutional right to view.,p8,"[p8] Petitioners have not come close to meeting their burden. Even on the incomplete record before the Court, much of the content here is plainly obscene—and thus constitutionally unprotected—even for adults. The district court, however, committed a more egregious version of the error identified in NetChoice. Not only did it fail to consider each application of H.B. 1181, it did not even consider H.B. 1181’s heartland. Instead, it speculated about hypothetical applications while refusing to review the content squarely at issue. Petitioners, however, cannot complain that their adult customers’ constitutional rights have been chilled based on content that those customers have no constitutional right to view.",reject,,,,duplicate
f86ea26873e6,rawlp_f86ea26873e6637f,23-1122,23-1122-respondents,respondent,23-1122-respondents_C002,A preliminary injunction is an extraordinary remedy that is never awarded as of right.,p9,"[p9] IV. Finally, a preliminary injunction is an “extraordinary remedy” that is never awarded as of right. Winter v. NRDC, Inc., 555 U.S. 7, 24 (2008). Instead, a plaintiff “must establish” not only “that he is likely to succeed on the merits,” but also “that he is likely to suffer irreparable harm in the absence of preliminary relief” and “that an injunction is in the public interest.” Id. at 20. Here, even if Petitioners satisfied their burden with respect to the merits, they flunked the other requirements. They did not identify a single adult who has been chilled from visiting their websites, and they cannot show that any (nonexistent) injury outweighs harm to children. Enforcement of H.B. 1181 has been permitted for more than a year and the sky has not fallen. The Court should retain that status quo while litigation continues.",reject,,,,a universally agreed principle that was used a premise of the argument here; not the argument itself
